cusip,options,issuer,description,status
62913F 90 1,,NII HLDGS INC,CALL,DELETED
62913F 95 1,,NII HLDGS INC,PUT,DELETED
62913M 10 7,*,NGL ENERGY PARTNERS LP,COM UNIT REPST,
62913M 90 7,,NGL ENERGY PARTNERS LP,CALL,
62913M 95 7,,NGL ENERGY PARTNERS LP,PUT,
62914B 10 0,*,NIC INC,COM,
62914B 90 0,,NIC INC,CALL,
62914B 95 0,,NIC INC,PUT,
629156 40 7,*,NL INDS INC,COM NEW,
629156 90 7,,NL INDS INC,CALL,
629156 95 7,,NL INDS INC,PUT,
629209 30 5,*,NMI HLDGS INC,CL A,
629209 90 5,,NMI HLDGS INC,CALL,
629209 95 5,,NMI HLDGS INC,PUT,
629337 10 6,*,NN INC,COM,
629337 90 6,,NN INC,CALL,
629337 95 6,,NN INC,PUT,
62936P 10 3,*,NPS PHARMACEUTICALS INC,COM,
62936P 90 3,,NPS PHARMACEUTICALS INC,CALL,
62936P 95 3,,NPS PHARMACEUTICALS INC,PUT,
629377 50 8,*,NRG ENERGY INC,COM NEW,
629377 90 8,,NRG ENERGY INC,CALL,
629377 95 8,,NRG ENERGY INC,PUT,
629410 30 9,*,NTN BUZZTIME INC,COM NEW,
629410 90 9,,NTN BUZZTIME INC,CALL,
629410 95 9,,NTN BUZZTIME INC,PUT,
62942M 20 1,*,NTT DOCOMO INC,SPONS ADR,
62942M 90 1,,NTT DOCOMO INC,CALL,
62942M 95 1,,NTT DOCOMO INC,PUT,
62942X 10 8,*,NRG YIELD INC,COM CL A,
62942X 90 8,,NRG YIELD INC,CALL,
62942X 95 8,,NRG YIELD INC,PUT,
62944T 10 5,,NVR INC,COM,
629445 20 6,,NVE CORP,COM NEW,
62945V 10 9,,NV5 HLDGS INC,COM,
62945V 11 7,,NV5 HLDGS INC,*W EXP 03/27/201,
629579 10 3,,NACCO INDS INC,CL A,
630077 10 5,*,NANOMETRICS INC,COM,
630077 90 5,,NANOMETRICS INC,CALL,
630077 95 5,,NANOMETRICS INC,PUT,
63008J 20 7,,NANO VIBRONIX INC,UNIT 99/99/9999,DELETED
630087 20 3,*,NANOVIRICIDES INC,COM NEW,
630087 90 3,,NANOVIRICIDES INC,CALL,
630087 95 3,,NANOVIRICIDES INC,PUT,
63009F 10 5,*,NANOSPHERE INC,COM,
63009F 90 5,,NANOSPHERE INC,CALL,
63009F 95 5,,NANOSPHERE INC,PUT,
63009R 10 9,*,NANOSTRING TECHNOLOGIES INC,COM,
63009R 90 9,,NANOSTRING TECHNOLOGIES INC,CALL,
63009R 95 9,,NANOSTRING TECHNOLOGIES INC,PUT,
630402 10 5,,NAPCO SEC TECHNOLOGIES INC,COM,
63110R 10 5,,NASDAQ PREM INCM & GRW FD IN,COM,
631103 10 8,*,NASDAQ OMX GROUP INC,COM,
631103 90 8,,NASDAQ OMX GROUP INC,CALL,
631103 95 8,,NASDAQ OMX GROUP INC,PUT,
632347 10 0,,NATHANS FAMOUS INC NEW,COM,
63245Q 10 5,,NATIONAL AMERN UNIV HLDGS IN,COM,
633643 50 7,,NATIONAL BK GREECE S A,ADR PRF SER A,
633643 70 5,*,NATIONAL BK GREECE S A,SPN ADR REP 1 SH,
633643 90 5,,NATIONAL BK GREECE S A,CALL,
633643 95 5,,NATIONAL BK GREECE S A,PUT,
633707 10 4,,NATIONAL BK HLDGS CORP,CL A,
634865 10 9,,NATIONAL BANKSHARES INC VA,COM,
635017 10 6,*,NATIONAL BEVERAGE CORP,COM,
635017 90 6,,NATIONAL BEVERAGE CORP,CALL,
635017 95 6,,NATIONAL BEVERAGE CORP,PUT,
635309 10 7,*,NATIONAL CINEMEDIA INC,COM,
635309 90 7,,NATIONAL CINEMEDIA INC,CALL,
635309 95 7,,NATIONAL CINEMEDIA INC,PUT,
635906 10 0,*,NATIONAL HEALTHCARE CORP,COM,
635906 90 0,,NATIONAL HEALTHCARE CORP,CALL,
635906 95 0,,NATIONAL HEALTHCARE CORP,PUT,
635906 20 9,,NATIONAL HEALTHCARE CORP,PFD CONV SER A,
636180 10 1,*,NATIONAL FUEL GAS CO N J,COM,
636180 90 1,,NATIONAL FUEL GAS CO N J,CALL,
636180 95 1,,NATIONAL FUEL GAS CO N J,PUT,
636220 30 3,,NATIONAL GEN HLDGS CORP,COM,
636274 30 0,*,NATIONAL GRID PLC,SPON ADR NEW,
636274 90 0,,NATIONAL GRID PLC,CALL,
636274 95 0,,NATIONAL GRID PLC,PUT,
63633D AE 4,,NATIONAL HEALTH INVS INC,NOTE  3.250% 4/0,
63633D 10 4,*,NATIONAL HEALTH INVS INC,COM,
63633D 90 4,,NATIONAL HEALTH INVS INC,CALL,
63633D 95 4,,NATIONAL HEALTH INVS INC,PUT,
636518 10 2,*,NATIONAL INSTRS CORP,COM,
636518 90 2,,NATIONAL INSTRS CORP,CALL,
636518 95 2,,NATIONAL INSTRS CORP,PUT,
63654U 10 0,,NATIONAL INTERSTATE CORP,COM,
637071 10 1,*,NATIONAL OILWELL VARCO INC,COM,
637071 90 1,,NATIONAL OILWELL VARCO INC,CALL,
637071 95 1,,NATIONAL OILWELL VARCO INC,PUT,
637138 10 8,*,NATIONAL PENN BANCSHARES INC,COM,
637138 90 8,,NATIONAL PENN BANCSHARES INC,CALL,
637138 95 8,,NATIONAL PENN BANCSHARES INC,PUT,
637215 10 4,,NATIONAL PRESTO INDS INC,COM,
637372 20 2,,NATIONAL RESH CORP,CL A,
637372 30 1,,NATIONAL RESH CORP,CL B,
637417 10 6,*,NATIONAL RETAIL PPTYS INC,COM,
637417 90 6,,NATIONAL RETAIL PPTYS INC,CALL,
637417 95 6,,NATIONAL RETAIL PPTYS INC,PUT,
637546 10 2,,NATIONAL SEC GROUP INC,COM,
638522 10 2,,NATIONAL WESTN LIFE INS CO,CL A,
638539 88 2,,NATIONAL WESTMINSTER BK PLC,SPON ADR C,
63861C 10 9,*,NATIONSTAR MTG HLDGS INC,COM,
63861C 90 9,,NATIONSTAR MTG HLDGS INC,CALL,
63861C 95 9,,NATIONSTAR MTG HLDGS INC,PUT,
638842 30 2,,NATURAL ALTERNATIVES INTL IN,COM NEW,
63886Q 10 9,*,NATURAL GAS SERVICES GROUP,COM,
63886Q 90 9,,NATURAL GAS SERVICES GROUP,CALL,
63886Q 95 9,,NATURAL GAS SERVICES GROUP,PUT,
63888U 10 8,*,NATURAL GROCERS BY VITAMIN C,COM,
63888U 90 8,,NATURAL GROCERS BY VITAMIN C,CALL,
63888U 95 8,,NATURAL GROCERS BY VITAMIN C,PUT,
638901 30 6,,NAVISTAR INTL CORP,PFD SR D CONV,
638904 10 2,*,NAVIGATORS GROUP INC,COM,
638904 90 2,,NAVIGATORS GROUP INC,CALL,
638904 95 2,,NAVIGATORS GROUP INC,PUT,
63900P 10 3,*,NATURAL RESOURCE PARTNERS L,COM UNIT L P,
63900P 90 3,,NATURAL RESOURCE PARTNERS L,CALL,
63900P 95 3,,NATURAL RESOURCE PARTNERS L,PUT,
639027 10 1,*,NATURES SUNSHINE PRODUCTS IN,COM,
639027 90 1,,NATURES SUNSHINE PRODUCTS IN,CALL,
639027 95 1,,NATURES SUNSHINE PRODUCTS IN,PUT,
63905A 10 1,,NATUZZI S P A,ADR,
639050 10 3,*,NATUS MEDICAL INC DEL,COM,
639050 90 3,,NATUS MEDICAL INC DEL,CALL,
639050 95 3,,NATUS MEDICAL INC DEL,PUT,
63906P 10 7,,NAUGATUCK VY FINL CORP MD,COM,
63910B 10 2,*,NAUTILUS INC,COM,
63910B 90 2,,NAUTILUS INC,CALL,
63910B 95 2,,NAUTILUS INC,PUT,
63934E AL 2,,NAVISTAR INTL CORP NEW,NOTE  3.000%10/1,
63934E 10 8,*,NAVISTAR INTL CORP NEW,COM,
63934E 90 8,,NAVISTAR INTL CORP NEW,CALL,
63934E 95 8,,NAVISTAR INTL CORP NEW,PUT,
63935N 10 7,*,NAVIGANT CONSULTING INC,COM,
63935N 90 7,,NAVIGANT CONSULTING INC,CALL,
63935N 95 7,,NAVIGANT CONSULTING INC,PUT,
63937X 10 3,*,NAVIDEA BIOPHARMACEUTICALS I,COM,
63937X 90 3,,NAVIDEA BIOPHARMACEUTICALS I,CALL,
63937X 95 3,,NAVIDEA BIOPHARMACEUTICALS I,PUT,
63938C 10 8,*,NAVIENT CORP,COM,
63938C 90 8,,NAVIENT CORP,CALL,
63938C 95 8,,NAVIENT CORP,PUT,
63938Y 10 0,,NAVIOS MARITIME HLDGS INC,SPN ADR RP PFD G,
63938Y 30 8,,NAVIOS MARITIME HLDGS INC,SPON ADR PFD H,ADDED
640079 10 9,*,NEENAH PAPER INC,COM,
640079 90 9,,NEENAH PAPER INC,CALL,
640079 95 9,,NEENAH PAPER INC,PUT,
640268 10 8,*,NEKTAR THERAPEUTICS,COM,
640268 90 8,,NEKTAR THERAPEUTICS,CALL,
640268 95 8,,NEKTAR THERAPEUTICS,PUT,
64031N 10 8,*,NELNET INC,CL A,
64031N 90 8,,NELNET INC,CALL,
64031N 95 8,,NELNET INC,PUT,
64049M 20 9,*,NEOGENOMICS INC,COM NEW,
64049M 90 9,,NEOGENOMICS INC,CALL,
64049M 95 9,,NEOGENOMICS INC,PUT,
640491 10 6,*,NEOGEN CORP,COM,
640491 90 6,,NEOGEN CORP,CALL,
640491 95 6,,NEOGEN CORP,PUT,
64051M 40 2,*,NEONODE INC,COM NEW,
64051M 90 2,,NEONODE INC,CALL,
64051M 95 2,,NEONODE INC,PUT,
64051T 10 0,*,NEOPHOTONICS CORP,COM,
64051T 90 0,,NEOPHOTONICS CORP,CALL,
64051T 95 0,,NEOPHOTONICS CORP,PUT,
64065J 10 6,,NEOVASC INC,COM,
640650 40 4,*,NEOSTEM INC,COM PAR $.001,
640650 90 4,,NEOSTEM INC,CALL,
640650 95 4,,NEOSTEM INC,PUT,
640667 10 1,,NEPHROGENEX INC,COM,
64077P 10 8,*,NEPTUNE TECHNOLOGIES BIORESO,COM,
64077P 90 8,,NEPTUNE TECHNOLOGIES BIORESO,CALL,
64077P 95 8,,NEPTUNE TECHNOLOGIES BIORESO,PUT,
64107N 20 6,*,NET 1 UEPS TECHNOLOGIES INC,COM NEW,
64107N 90 6,,NET 1 UEPS TECHNOLOGIES INC,CALL,
64107N 95 6,,NET 1 UEPS TECHNOLOGIES INC,PUT,
64110D 10 4,*,NETAPP INC,COM,
64110D 90 4,,NETAPP INC,CALL,
64110D 95 4,,NETAPP INC,PUT,
64110L 10 6,*,NETFLIX INC,COM,
64110L 90 6,,NETFLIX INC,CALL,
64110L 95 6,,NETFLIX INC,PUT,
64110W 10 2,*,NETEASE INC,SPONSORED ADR,
64110W 90 2,,NETEASE INC,CALL,
64110W 95 2,,NETEASE INC,PUT,
64111Q 10 4,*,NETGEAR INC,COM,
64111Q 90 4,,NETGEAR INC,CALL,
64111Q 95 4,,NETGEAR INC,PUT,
64111R 10 2,,NET ELEMENT INC,COM,
64115A 40 2,*,NETSOL TECHNOLOGIES INC,COM PAR $.001,
64115A 90 2,,NETSOL TECHNOLOGIES INC,CALL,
64115A 95 2,,NETSOL TECHNOLOGIES INC,PUT,
64115T 10 4,*,NETSCOUT SYS INC,COM,
64115T 90 4,,NETSCOUT SYS INC,CALL,
64115T 95 4,,NETSCOUT SYS INC,PUT,
64118P 10 9,*,NETLIST INC,COM,
64118P 90 9,,NETLIST INC,CALL,
64118P 95 9,,NETLIST INC,PUT,
64118Q AB 3,,NETSUITE INC,NOTE  0.250% 6/0,
64118Q 10 7,*,NETSUITE INC,COM,
64118Q 90 7,,NETSUITE INC,CALL,
64118Q 95 7,,NETSUITE INC,PUT,
64118U 10 8,*,NQ MOBILE INC,ADR REPSTG CL A,
64118U 90 8,,NQ MOBILE INC,CALL,
64118U 95 8,,NQ MOBILE INC,PUT,
64123C 10 1,,NEUBERGER BERMAN CA INT MUN,COM,
64124K 10 2,,NEUBERGER BERMAN NY INT MUN,COM,
64124P 10 1,,NEUBERGER BERMAN INTER MUNI,COM,
64125C 10 9,*,NEUROCRINE BIOSCIENCES INC,COM,
64125C 90 9,,NEUROCRINE BIOSCIENCES INC,CALL,
64125C 95 9,,NEUROCRINE BIOSCIENCES INC,PUT,
641255 30 2,,NEUROMETRIX INC,COM PAR $0.0001,
64126Q 20 6,*,NEVADA GOLD & CASINOS INC,COM NEW,
64126Q 90 6,,NEVADA GOLD & CASINOS INC,CALL,
64126Q 95 6,,NEVADA GOLD & CASINOS INC,PUT,
64126X 20 1,*,NEUSTAR INC,CL A,
64126X 90 1,,NEUSTAR INC,CALL,
64126X 95 1,,NEUSTAR INC,PUT,
64127R 30 2,*,NEURALSTEM INC,COM,
64127R 90 2,,NEURALSTEM INC,CALL,
64127R 95 2,,NEURALSTEM INC,PUT,
64128C 10 6,,NEUBERGER BERMAN HGH YLD FD,COM,
64129H 10 4,,NEUBERGER BERMAN MLP INCOME,COM,
64156L 10 1,*,NEVSUN RES LTD,COM,
64156L 90 1,,NEVSUN RES LTD,CALL,
64156L 95 1,,NEVSUN RES LTD,PUT,
641876 80 0,,NEW AMER HIGH INCOME FD INC,COM NEW,
64190A 10 3,,NEUBERGER BERMAN RE ES SEC F,COM,
64353M 10 0,,NEW CENTRY BANCORP INC DUNN,COM,DELETED
643611 10 6,,NEW CONCEPT ENERGY INC,COM,
644206 10 4,,NEW ENGLAND RLTY ASSOC LTD P,DEPOSITRY RCPT,
644465 10 6,,NEW GERMANY FD INC,COM,
644535 10 6,*,NEW GOLD INC CDA,COM,
644535 90 6,,NEW GOLD INC CDA,CALL,
644535 95 6,,NEW GOLD INC CDA,PUT,
644722 10 0,,NEW HAMPSHIRE THRIFT BANCSHS,COM,
645370 10 7,,NEW HOME CO INC,COM,
645673 10 4,,NEW IRELAND FUND INC,COM,
646025 10 6,*,NEW JERSEY RES,COM,
646025 90 6,,NEW JERSEY RES,CALL,
646025 95 6,,NEW JERSEY RES,PUT,
64704V 10 6,*,NEW MEDIA INVT GROUP INC,COM,
64704V 90 6,,NEW MEDIA INVT GROUP INC,CALL,
64704V 95 6,,NEW MEDIA INVT GROUP INC,PUT,
647551 10 0,*,NEW MTN FIN CORP,COM,
647551 90 0,,NEW MTN FIN CORP,CALL,
647551 95 0,,NEW MTN FIN CORP,PUT,
647581 10 7,*,NEW ORIENTAL ED & TECH GRP I,SPON ADR,
647581 90 7,,NEW ORIENTAL ED & TECH GRP I,CALL,
647581 95 7,,NEW ORIENTAL ED & TECH GRP I,PUT,
64828T 10 2,*,NEW RESIDENTIAL INVT CORP,COM,
64828T 90 2,,NEW RESIDENTIAL INVT CORP,CALL,
64828T 95 2,,NEW RESIDENTIAL INVT CORP,PUT,
64881E 10 9,*,NEW SOURCE ENERGY PARTNERS L,CM UNT LTD PRT,
64881E 90 9,,NEW SOURCE ENERGY PARTNERS L,CALL,
64881E 95 9,,NEW SOURCE ENERGY PARTNERS L,PUT,
649295 10 2,*,NEW YORK & CO INC,COM,
649295 90 2,,NEW YORK & CO INC,CALL,
649295 95 2,,NEW YORK & CO INC,PUT,
64944P 30 7,,NEW YORK CMNTY CAP TR V,UNIT 11/01/2051,
649445 10 3,*,NEW YORK CMNTY BANCORP INC,COM,
649445 90 3,,NEW YORK CMNTY BANCORP INC,CALL,
649445 95 3,,NEW YORK CMNTY BANCORP INC,PUT,
649604 50 1,*,NEW YORK MTG TR INC,COM PAR $.02,
649604 90 1,,NEW YORK MTG TR INC,CALL,
649604 95 1,,NEW YORK MTG TR INC,PUT,
64976L 10 9,*,NEW YORK REIT INC,COM,
64976L 90 9,,NEW YORK REIT INC,CALL,
64976L 95 9,,NEW YORK REIT INC,PUT,
650111 10 7,*,NEW YORK TIMES CO,CL A,
650111 90 7,,NEW YORK TIMES CO,CALL,
650111 95 7,,NEW YORK TIMES CO,PUT,
65080T 10 2,,NEWBRIDGE BANCORP,CL A NO PAR,
65105M 10 8,*,NEWCASTLE INVT CORP,COM,DELETED
65105M 90 8,,NEWCASTLE INVT CORP,CALL,DELETED
65105M 95 8,,NEWCASTLE INVT CORP,PUT,DELETED
65105M 50 4,*,NEWCASTLE INVT CORP NEW,COM NEW,ADDED
65105M 90 4,,NEWCASTLE INVT CORP NEW,CALL,ADDED
65105M 95 4,,NEWCASTLE INVT CORP NEW,PUT,ADDED
651229 10 6,*,NEWELL RUBBERMAID INC,COM,
651229 90 6,,NEWELL RUBBERMAID INC,CALL,
651229 95 6,,NEWELL RUBBERMAID INC,PUT,
651290 10 8,*,NEWFIELD EXPL CO,COM,
651290 90 8,,NEWFIELD EXPL CO,CALL,
651290 95 8,,NEWFIELD EXPL CO,PUT,
651511 10 7,*,NEWLINK GENETICS CORP,COM,
651511 90 7,,NEWLINK GENETICS CORP,CALL,
651511 95 7,,NEWLINK GENETICS CORP,PUT,
651587 10 7,*,NEWMARKET CORP,COM,
651587 90 7,,NEWMARKET CORP,CALL,
651587 95 7,,NEWMARKET CORP,PUT,
651639 AH 9,,NEWMONT MINING CORP,NOTE  1.250% 7/1,DELETED
651639 AJ 5,,NEWMONT MINING CORP,NOTE  1.625% 7/1,
651639 10 6,*,NEWMONT MINING CORP,COM,
651639 90 6,,NEWMONT MINING CORP,CALL,
651639 95 6,,NEWMONT MINING CORP,PUT,
651718 AC 2,,NEWPARK RES INC,NOTE  4.000%10/0,
651718 50 4,*,NEWPARK RES INC,COM PAR $.01NEW,
651718 90 4,,NEWPARK RES INC,CALL,
651718 95 4,,NEWPARK RES INC,PUT,
651824 10 4,*,NEWPORT CORP,COM,
651824 90 4,,NEWPORT CORP,CALL,
651824 95 4,,NEWPORT CORP,PUT,
65249B 10 9,*,NEWS CORP NEW,CL A,
65249B 90 9,,NEWS CORP NEW,CALL,
65249B 95 9,,NEWS CORP NEW,PUT,
65249B 20 8,*,NEWS CORP NEW,CL B,
65249B 90 8,,NEWS CORP NEW,CALL,
65249B 95 8,,NEWS CORP NEW,PUT,
65251F 10 5,,NEWSTAR FINANCIAL INC,COM,
652526 10 4,,NEWTEK BUSINESS SVCS INC,COM,
65336K 10 3,*,NEXSTAR BROADCASTING GROUP I,CL A,
65336K 90 3,,NEXSTAR BROADCASTING GROUP I,CALL,
65336K 95 3,,NEXSTAR BROADCASTING GROUP I,PUT,
65339F 10 1,*,NEXTERA ENERGY INC,COM,
65339F 90 1,,NEXTERA ENERGY INC,CALL,
65339F 95 1,,NEXTERA ENERGY INC,PUT,
65339F 86 1,,NEXTERA ENERGY INC,UNIT 99/99/9999,
65339F 88 7,,NEXTERA ENERGY INC,UNIT 09/01/2015,
65340G 10 6,,NEXPOINT CR STRATEGIES FD,COM,
65341B 10 6,*,NEXTERA ENERGY PARTNERS LP,COM UNIT PART IN,ADDED
65341B 90 6,,NEXTERA ENERGY PARTNERS LP,CALL,ADDED
65341B 95 6,,NEXTERA ENERGY PARTNERS LP,PUT,ADDED
653656 10 8,*,NICE SYS LTD,SPONSORED ADR,
653656 90 8,,NICE SYS LTD,CALL,
653656 95 8,,NICE SYS LTD,PUT,
65373J 20 9,,NICHOLAS FINANCIAL INC,COM NEW,
654090 10 9,,NIDEC CORP,SPONSORED ADR,
654106 10 3,*,NIKE INC,CL B,
654106 90 3,,NIKE INC,CALL,
654106 95 3,,NIKE INC,PUT,
65440R 10 1,*,NIMBLE STORAGE INC,COM,
65440R 90 1,,NIMBLE STORAGE INC,CALL,
65440R 95 1,,NIMBLE STORAGE INC,PUT,
654624 10 5,*,NIPPON TELEG & TEL CORP,SPONSORED ADR,
654624 90 5,,NIPPON TELEG & TEL CORP,CALL,
654624 95 5,,NIPPON TELEG & TEL CORP,PUT,
654678 10 1,*,NISKA GAS STORAGE PARTNERS L,UNIT LTD LIABI,
654678 90 1,,NISKA GAS STORAGE PARTNERS L,CALL,
654678 95 1,,NISKA GAS STORAGE PARTNERS L,PUT,
65473P 10 5,*,NISOURCE INC,COM,
65473P 90 5,,NISOURCE INC,CALL,
65473P 95 5,,NISOURCE INC,PUT,
65487R 30 3,*,NOAH ED HLDGS LTD,ADR,DELETED
65487R 90 3,,NOAH ED HLDGS LTD,CALL,DELETED
65487R 95 3,,NOAH ED HLDGS LTD,PUT,DELETED
65487X 10 2,*,NOAH HLDGS LTD,SPONSORED ADS,
65487X 90 2,,NOAH HLDGS LTD,CALL,
65487X 95 2,,NOAH HLDGS LTD,PUT,
654902 20 4,*,NOKIA CORP,SPONSORED ADR,
654902 90 4,,NOKIA CORP,CALL,
654902 95 4,,NOKIA CORP,PUT,
655044 10 5,*,NOBLE ENERGY INC,COM,
655044 90 5,,NOBLE ENERGY INC,CALL,
655044 95 5,,NOBLE ENERGY INC,PUT,
65535H 20 8,*,NOMURA HLDGS INC,SPONSORED ADR,
65535H 90 8,,NOMURA HLDGS INC,CALL,
65535H 95 8,,NOMURA HLDGS INC,PUT,
65540B 10 5,*,NOODLES & CO,CL A,
65540B 90 5,,NOODLES & CO,CALL,
65540B 95 5,,NOODLES & CO,PUT,
65542W 10 7,*,NORANDA ALUM HLDG CORP,COM,
65542W 90 7,,NORANDA ALUM HLDG CORP,CALL,
65542W 95 7,,NORANDA ALUM HLDG CORP,PUT,
65557Y 10 5,,NORCRAFT COS INC,COM,
65563C 10 5,*,NORDION INC,COM,DELETED
65563C 90 5,,NORDION INC,CALL,DELETED
65563C 95 5,,NORDION INC,PUT,DELETED
655663 10 2,*,NORDSON CORP,COM,
655663 90 2,,NORDSON CORP,CALL,
655663 95 2,,NORDSON CORP,PUT,
655664 10 0,*,NORDSTROM INC,COM,
655664 90 0,,NORDSTROM INC,CALL,
655664 95 0,,NORDSTROM INC,PUT,
655844 10 8,*,NORFOLK SOUTHERN CORP,COM,
655844 90 8,,NORFOLK SOUTHERN CORP,CALL,
655844 95 8,,NORFOLK SOUTHERN CORP,PUT,
656553 10 4,,NORTECH SYS INC,COM,
656559 30 9,,NORTEK INC,COM NEW,
656567 40 1,,NORTEL INVERSORA S A,SPON ADR PFD B,
656844 10 7,*,NORTH AMERN ENERGY PARTNERS,COM,
656844 90 7,,NORTH AMERN ENERGY PARTNERS,CALL,
656844 95 7,,NORTH AMERN ENERGY PARTNERS,PUT,
656912 10 2,*,NORTH AMERN PALLADIUM LTD,COM,
656912 90 2,,NORTH AMERN PALLADIUM LTD,CALL,
656912 95 2,,NORTH AMERN PALLADIUM LTD,PUT,
659310 10 6,*,NORTH EUROPEAN OIL RTY TR,SH BEN INT,
659310 90 6,,NORTH EUROPEAN OIL RTY TR,CALL,
659310 95 6,,NORTH EUROPEAN OIL RTY TR,PUT,
66304M 20 4,,NORTH VALLEY BANCORP,COM NEW,
663904 20 9,,NORTHEAST BANCORP,COM NEW,
664112 10 9,,NORTHEAST CMNTY BANCORP INC,COM,
664397 10 6,*,NORTHEAST UTILS,COM,
664397 90 6,,NORTHEAST UTILS,CALL,
664397 95 6,,NORTHEAST UTILS,PUT,
66510M 20 4,*,NORTHERN DYNASTY MINERALS LT,COM NEW,
66510M 90 4,,NORTHERN DYNASTY MINERALS LT,CALL,
66510M 95 4,,NORTHERN DYNASTY MINERALS LT,PUT,
66537H 10 5,,NORTHERN LTS ETF TR,ARROW DJ GLOBL,DELETED
665531 10 9,*,NORTHERN OIL & GAS INC NEV,COM,
665531 90 9,,NORTHERN OIL & GAS INC NEV,CALL,
665531 95 9,,NORTHERN OIL & GAS INC NEV,PUT,
665809 10 9,,NORTHERN TECH INTL CORP,COM,
665826 10 3,*,NORTHERN TIER ENERGY LP,COM UN REPR PART,
665826 90 3,,NORTHERN TIER ENERGY LP,CALL,
665826 95 3,,NORTHERN TIER ENERGY LP,PUT,
665859 10 4,*,NORTHERN TR CORP,COM,
665859 90 4,,NORTHERN TR CORP,CALL,
665859 95 4,,NORTHERN TR CORP,PUT,
66611T 10 8,*,NORTHFIELD BANCORP INC DEL,COM,
66611T 90 8,,NORTHFIELD BANCORP INC DEL,CALL,
66611T 95 8,,NORTHFIELD BANCORP INC DEL,PUT,
666762 10 9,,NORTHRIM BANCORP INC,COM,
666807 10 2,*,NORTHROP GRUMMAN CORP,COM,
666807 90 2,,NORTHROP GRUMMAN CORP,CALL,
666807 95 2,,NORTHROP GRUMMAN CORP,PUT,
66704R 10 0,*,NORTHSTAR RLTY FIN CORP,COM,DELETED
66704R 90 0,,NORTHSTAR RLTY FIN CORP,CALL,DELETED
66704R 95 0,,NORTHSTAR RLTY FIN CORP,PUT,DELETED
66704R 70 4,*,NORTHSTAR RLTY FIN CORP,COM NEW,ADDED
66704R 90 4,,NORTHSTAR RLTY FIN CORP,CALL,ADDED
66704R 95 4,,NORTHSTAR RLTY FIN CORP,PUT,ADDED
66705Y 10 4,*,NORTHSTAR ASSET MGMT GROUP I,COM,ADDED
66705Y 90 4,,NORTHSTAR ASSET MGMT GROUP I,CALL,ADDED
66705Y 95 4,,NORTHSTAR ASSET MGMT GROUP I,PUT,ADDED
667340 10 3,*,NORTHWEST BANCSHARES INC MD,COM,
667340 90 3,,NORTHWEST BANCSHARES INC MD,CALL,
667340 95 3,,NORTHWEST BANCSHARES INC MD,PUT,
66737P 11 3,,NORTHWEST BIOTHERAPEUTICS IN,*W EXP 12/12/201,
66737P 60 0,*,NORTHWEST BIOTHERAPEUTICS IN,COM PAR $0.001,
66737P 90 0,,NORTHWEST BIOTHERAPEUTICS IN,CALL,
66737P 95 0,,NORTHWEST BIOTHERAPEUTICS IN,PUT,
667655 10 4,*,NORTHWEST NAT GAS CO,COM,
667655 90 4,,NORTHWEST NAT GAS CO,CALL,
667655 95 4,,NORTHWEST NAT GAS CO,PUT,
667746 10 1,*,NORTHWEST PIPE CO,COM,
667746 90 1,,NORTHWEST PIPE CO,CALL,
667746 95 1,,NORTHWEST PIPE CO,PUT,
668074 30 5,*,NORTHWESTERN CORP,COM NEW,
668074 90 5,,NORTHWESTERN CORP,CALL,
668074 95 5,,NORTHWESTERN CORP,PUT,
669549 10 7,,NORWOOD FINANCIAL CORP,COM,
66979P 10 2,,NOVA LIFESTYLE INC,COM,
66987E AA 5,,NOVAGOLD RES INC,NOTE  5.500% 5/0,
66987E 20 6,*,NOVAGOLD RES INC,COM NEW,
66987E 90 6,,NOVAGOLD RES INC,CALL,
66987E 95 6,,NOVAGOLD RES INC,PUT,
66987G 10 2,*,NOVADAQ TECHNOLOGIES INC,COM,
66987G 90 2,,NOVADAQ TECHNOLOGIES INC,CALL,
66987G 95 2,,NOVADAQ TECHNOLOGIES INC,PUT,
66987M 60 4,*,NOVATEL WIRELESS INC,COM NEW,
66987M 90 4,,NOVATEL WIRELESS INC,CALL,
66987M 95 4,,NOVATEL WIRELESS INC,PUT,
66987P 10 2,,NOVABAY PHARMACEUTICALS INC,COM,
66987V 10 9,*,NOVARTIS A G,SPONSORED ADR,
66987V 90 9,,NOVARTIS A G,CALL,
66987V 95 9,,NOVARTIS A G,PUT,
66988K 10 2,*,NOVACOPPER INC,COM,
66988K 90 2,,NOVACOPPER INC,CALL,
66988K 95 2,,NOVACOPPER INC,PUT,
670002 10 4,*,NOVAVAX INC,COM,
670002 90 4,,NOVAVAX INC,CALL,
670002 95 4,,NOVAVAX INC,PUT,
670008 AD 3,,NOVELLUS SYS INC,NOTE  2.625% 5/1,
67010F 20 2,,NOVOGEN LIMITED,SPON ADR 1:25 SH,
670100 20 5,*,NOVO-NORDISK A S,ADR,
670100 90 5,,NOVO-NORDISK A S,CALL,
670100 95 5,,NOVO-NORDISK A S,PUT,
67011P 10 0,*,NOW INC,COM,
67011P 90 0,,NOW INC,CALL,
67011P 95 0,,NOW INC,PUT,
67018T 10 5,*,NU SKIN ENTERPRISES INC,CL A,
67018T 90 5,,NU SKIN ENTERPRISES INC,CALL,
67018T 95 5,,NU SKIN ENTERPRISES INC,PUT,
67020Q 30 5,*,NTELOS HLDGS CORP,COM NEW,
